codigo_icai,nombre_icai,term,studies,degree,schedule,language,ects_icai,codigo_itba,nombre_itba,confianza,comentario,availability_label,timing_risk_label,level_label,permission_label,language_label,schedule_label,recommendation_bucket,source_label,program_label,source_url,url_guia_icai
IIM-DCC-201E,English for Engineers II (B2.2),All-year,Undergraduate,2-DCC,Unknown,English,3.0,94.52,Inglés II,4,"English for Engineers II (B2.2) es la continuación de inglés técnico y se alinea con el objetivo B2 de comprensión, interacción y producción escrita de Inglés II. Es All-year: cursarlo en Fall supone 3 ECTS semestrales, y requiere prueba/asignación de nivel.",exchange_term_all_year,medium,undergraduate,standard,english,unknown,strong_candidate,course_offering_2026_2027_v1_1,regular_icai,,
DCIA-IMAT-211,Fundamentos de Inteligencia Artificial / Artificial Intelligence Fundamentals,Fall,Undergraduate,2-IMAT,Unknown,Spanish,6.0,72.59,Sistemas de Inteligencia Artificial II,3,"Fundamentos de Inteligencia Artificial cubre el área central, pero parece introductorio frente a IA II.",exchange_term,low,undergraduate,standard,spanish,unknown,strong_candidate,course_offering_2026_2027_v1_1,regular_icai,,
DCIA-IMAT-212,Adquisición y Visualización de Datos / Data Acquisition and Visualization,Fall,Undergraduate,2-IMAT,Unknown,Spanish,6.0,72.54,OLAP y Explotación de Datos,3,"Adquisición y Visualización de Datos cubre pipeline de datos y visualización, con gap en modelado multidimensional y consultas OLAP.",exchange_term,low,undergraduate,standard,spanish,unknown,strong_candidate,course_offering_2026_2027_v1_1,regular_icai,,
DCIA-IMAT-212,Adquisición y Visualización de Datos / Data Acquisition and Visualization,Fall,Undergraduate,2-IMAT,Unknown,Spanish,6.0,73.23,Programación Orientada a Datos,3,Adquisición y Visualización de Datos comparte el trabajo de obtención y manipulación de datos; candidato parcial de grado.,exchange_term,low,undergraduate,standard,spanish,unknown,strong_candidate,course_offering_2026_2027_v1_1,regular_icai,,
DEA-GITI-431,Microprocesadores / Microprocessors,Fall,Undergraduate,4-GITI,Unknown,Spanish,9.0,22.09,Fundamentos Electrónicos de la Informática,3,"Microprocesadores solapa con la aplicacion informatica de la electronica digital y el hardware, pero parece mas especifica y avanzada que una materia fundacional.",exchange_term,low,undergraduate,standard,spanish,unknown,strong_candidate,course_offering_2026_2027_v1_1,regular_icai,,
DEA-GITI-431,Microprocesadores / Microprocessors,Fall,Undergraduate,4-GITI,Unknown,Spanish,9.0,72.90,Internet de las Cosas (IoT),3,"Microprocesadores cubre la plataforma hardware subyacente para sensores y dispositivos IoT, pero no las capas de red y aplicación.",exchange_term,low,undergraduate,standard,spanish,unknown,strong_candidate,course_offering_2026_2027_v1_1,regular_icai,,
DEA-GITT-211,Circuitos Electrónicos / Electronic Circuits,Fall,Undergraduate,2-GITT,Unknown,Spanish,6.0,22.09,Fundamentos Electrónicos de la Informática,3,"Circuitos Electronicos cubre fundamentos de electronica y circuitos, alineados con Fundamentos Electronicos de la Informatica; falta confirmar el alcance de logica y arquitectura digital.",exchange_term,low,undergraduate,standard,spanish,unknown,strong_candidate,course_offering_2026_2027_v1_1,regular_icai,,
DEA-GITT-214,Sistemas Digitales I / Digital Systems I,Fall,Undergraduate,2-GITT,Unknown,Spanish,6.0,22.09,Fundamentos Electrónicos de la Informática,3,"Sistemas Digitales I cubre logica y sistemas digitales, una parte central de los fundamentos electronicos aplicados a informatica; no cubre necesariamente toda la electronica analogica.",exchange_term,low,undergraduate,standard,spanish,unknown,strong_candidate,course_offering_2026_2027_v1_1,regular_icai,,
DEA-GITT-214,Sistemas Digitales I / Digital Systems I,Fall,Undergraduate,2-GITT,Unknown,Spanish,6.0,72.02,Organización Básica de la Computadora,3,"Sistemas Digitales I cubre logica y sistemas digitales, parte clave de Organizacion Basica de la Computadora, aunque puede faltar arquitectura de procesador.",exchange_term,low,undergraduate,standard,spanish,unknown,strong_candidate,course_offering_2026_2027_v1_1,regular_icai,,
DEA-GITT-214,Sistemas Digitales I / Digital Systems I,Fall,Undergraduate,2-GITT,Unknown,Spanish,6.0,72.94,Introducción a los Sistemas Embebidos,3,"Sistemas Digitales I aporta fundamentos de hardware digital relevantes para sistemas embebidos, aunque no confirma programación de microcontroladores.",exchange_term,low,undergraduate,standard,spanish,unknown,strong_candidate,course_offering_2026_2027_v1_1,regular_icai,,
DEAC-IMAT-313,Visión por Ordenador I / Computer Vision I,Fall,Undergraduate,3-IMAT,Unknown,Spanish,4.5,72.53,Visión Computacional 3D,3,"Visión por Ordenador I puede ofrecer los fundamentos necesarios para visión 3D, pero el título no confirma reconstrucción o geometría 3D.",exchange_term,low,undergraduate,standard,spanish,unknown,strong_candidate,course_offering_2026_2027_v1_1,regular_icai,,
DEAC-IMAT-313,Visión por Ordenador I / Computer Vision I,Fall,Undergraduate,3-IMAT,Unknown,Spanish,4.5,73.66,Procesamiento de Imágenes Satelitales,3,"Visión por Ordenador I comparte el procesamiento de imágenes, pero no el dominio satelital ni técnicas avanzadas específicas.",exchange_term,low,undergraduate,standard,spanish,unknown,strong_candidate,course_offering_2026_2027_v1_1,regular_icai,,
DEAC-IMAT-411,Aprendizaje por Refuerzo / Reinforcement Learning,Fall,Undergraduate,4-IMAT,Unknown,Spanish,3.0,72.59,Sistemas de Inteligencia Artificial II,3,"Aprendizaje por Refuerzo es una técnica avanzada de IA, pero solo una especialidad de IA II.",exchange_term,low,undergraduate,standard,spanish,unknown,strong_candidate,course_offering_2026_2027_v1_1,regular_icai,,
DEAC-IMAT-411,Aprendizaje por Refuerzo / Reinforcement Learning,Fall,Undergraduate,4-IMAT,Unknown,Spanish,3.0,73.61,Neurorobótica,3,"Aprendizaje por Refuerzo es una técnica relevante para neurorobótica y control adaptativo, aunque no cubre robótica ni neurociencia de forma completa.",exchange_term,low,undergraduate,standard,spanish,unknown,strong_candidate,course_offering_2026_2027_v1_1,regular_icai,,
DER-ADE-215,Marco Jurídico de la Empresa / Business Legal Framework,Fall,Undergraduate,2-ADE,Unknown,Spanish,6.0,61.13,Práctica Contractual,3,"Business Legal Framework es un candidato parcial fuerte para practica contractual en contexto empresarial, aunque debe confirmarse que incluya redaccion y negociacion de contratos de servicios o productos.",exchange_term,low,undergraduate,standard,spanish,unknown,strong_candidate,course_offering_2026_2027_v1_1,regular_icai,,
DER-BA23-313,Regulación de Mercados Digitales / Regulation and Digital Markets,Fall,Undergraduate,3-BA,Unknown,Spanish,6.0,61.08,Derecho Digital,3,"Regulacion de Mercados Digitales cubre el marco regulatorio de entornos digitales, con solapamiento relevante en Derecho Digital; falta confirmar privacidad, propiedad intelectual y ciberdelitos.",exchange_term,low,undergraduate,standard,spanish,unknown,strong_candidate,course_offering_2026_2027_v1_1,regular_icai,,
DOI-DHPCP-201,Ingeniería y Comunicación / Engineering and Communication,Fall,Undergraduate,2-DHP,Unknown,English / Spanish,3.0,94.42,Comunicación Estratégica,3,"Ingeniería y Comunicación se solapa con presentaciones, informes y comunicación profesional, pero no demuestra el temario completo de estrategia de comunicación organizacional. Es grado y figura con asignación pendiente.",exchange_term,low,undergraduate,standard,english_or_spanish,unknown,strong_candidate,course_offering_2026_2027_v1_1,regular_icai,,
DOI-DHPCP-201,Ingeniería y Comunicación / Engineering and Communication,Fall,Undergraduate,2-DHP,Unknown,English / Spanish,3.0,94.64,Prácticas Expositivas,3,"Ingeniería y Comunicación se solapa con comunicar contenidos técnicos y profesionales, pero no demuestra el entrenamiento expositivo integral, verbal y corporal de ITBA. Es grado y figura con asignación pendiente.",exchange_term,low,undergraduate,standard,english_or_spanish,unknown,strong_candidate,course_offering_2026_2027_v1_1,regular_icai,,
DOI-GITI-411,Ética / Ethics,Fall,Undergraduate,4-GITI,Unknown,Spanish,3.0,94.62,Ética en los Negocios,3,"Ética cubre la base filosófica y deontológica de la materia ITBA, pero el título no acredita el bloque específico de ética empresarial, responsabilidad corporativa y regulación.",exchange_term,low,undergraduate,standard,spanish,unknown,strong_candidate,course_offering_2026_2027_v1_1,regular_icai,,
DTC-BA-516,Desarrollo de Aplicaciones para la Visualización de Datos / Application Development for Data Visualization,Fall,Undergraduate,6-BA,Unknown,Spanish,3.0,72.54,OLAP y Explotación de Datos,3,"Desarrollo de Aplicaciones para la Visualización de Datos cubre explotación y presentación de datos, pero no confirma OLAP, cubos ni almacenamiento analítico.",exchange_term,low,undergraduate,standard,spanish,unknown,strong_candidate,course_offering_2026_2027_v1_1,regular_icai,,
DTC-BA23-314,Visualización de Datos / Data Visualization,Fall,Undergraduate,3-BA,Unknown,Spanish,3.0,72.54,OLAP y Explotación de Datos,3,"Visualización de Datos solapa con la explotación analítica de datos, aunque no alcanza por sí sola los contenidos de OLAP.",exchange_term,low,undergraduate,standard,spanish,unknown,strong_candidate,course_offering_2026_2027_v1_1,regular_icai,,
DTC-GITT-313,Tecnología de Redes / Computer Network Technologies,Fall,Undergraduate,3-GITT,Unknown,Spanish,6.0,72.28,Topología de Internet: Análisis y Modelado,3,"Tecnología de Redes es una base pertinente para analizar topologías y funcionamiento de Internet, aunque no confirma específicamente modelado topológico.",exchange_term,low,undergraduate,standard,spanish,unknown,strong_candidate,course_offering_2026_2027_v1_1,regular_icai,,
DTC-GITT-315,Ingeniería del Software / Software Engineering,Fall,Undergraduate,3-GITT,Unknown,Spanish,6.0,73.30,Desarrollo profesional de software: del código al producto,3,Ingeniería del Software cubre prácticas y procesos de desarrollo profesional; buen parcial para llevar código a producto.,exchange_term,low,undergraduate,standard,spanish,unknown,strong_candidate,course_offering_2026_2027_v1_1,regular_icai,,
DTC-GITT-315,Ingeniería del Software / Software Engineering,Fall,Undergraduate,3-GITT,Unknown,Spanish,6.0,81.14,Product Management,3,"Ingeniería del Software aporta el ciclo de desarrollo y la interacción con ingeniería, pero no todo el alcance de producto, UX y métricas.",exchange_term,low,undergraduate,standard,spanish,unknown,strong_candidate,course_offering_2026_2027_v1_1,regular_icai,,
DTC-GITT-315,Ingeniería del Software / Software Engineering,Fall,Undergraduate,3-GITT,Unknown,Spanish,6.0,81.57,Arquitectura de soluciones digitales,3,"Ingeniería del Software se solapa con el diseño técnico y la construcción de arquitecturas de soluciones, aunque el catálogo no demuestra cobertura explícita de CI/CD ni de arquitectura tecnológica a nivel de plataforma.",exchange_term,low,undergraduate,standard,spanish,unknown,strong_candidate,course_offering_2026_2027_v1_1,regular_icai,,
DTC-GITT-411,Conmutación y Transmisión / Switching and Data Transmission,Fall,Undergraduate,4-GITT,Unknown,Spanish,4.5,72.28,Topología de Internet: Análisis y Modelado,3,"Conmutación y transmisión aporta redes e interconexión para el análisis de topologías, pero no evidencia herramientas de modelado de Internet.",exchange_term,low,undergraduate,standard,spanish,unknown,strong_candidate,course_offering_2026_2027_v1_1,regular_icai,,
DTC-GITT-413,Seguridad y Normativa / Security and Telecommunications Legislation,Fall,Undergraduate,4-GITT,Unknown,Spanish,7.5,61.08,Derecho Digital,3,"Seguridad y Normativa combina seguridad con normativa de telecomunicaciones, parcialmente alineada con derecho y tecnologia; su foco parece mas sectorial que Derecho Digital general.",exchange_term,low,undergraduate,standard,spanish,unknown,strong_candidate,course_offering_2026_2027_v1_1,regular_icai,,
DTC-GITT-413,Seguridad y Normativa / Security and Telecommunications Legislation,Fall,Undergraduate,4-GITT,Unknown,Spanish,7.5,72.44,Criptografía y Seguridad,3,"Seguridad y Normativa aporta seguridad de redes y aspectos regulatorios, pero no demuestra cubrir la profundidad criptográfica requerida.",exchange_term,low,undergraduate,standard,spanish,unknown,strong_candidate,course_offering_2026_2027_v1_1,regular_icai,,
DTC-IMAT-416,Procesamiento de Lenguaje Natural II / Natural Language Processing II,Fall,Undergraduate,4-IMAT,Unknown,Spanish,6.0,72.59,Sistemas de Inteligencia Artificial II,3,"Procesamiento de Lenguaje Natural II aporta una especialidad avanzada de IA, parcial frente a IA II.",exchange_term,low,undergraduate,standard,spanish,unknown,strong_candidate,course_offering_2026_2027_v1_1,regular_icai,,
DTC-IMAT-417,Visión por Ordenador II / Computer Vision II,Fall,Undergraduate,4-IMAT,Unknown,Spanish,6.0,72.53,Visión Computacional 3D,3,"Visión por Ordenador II es una candidata de visión avanzada, aunque debe comprobarse la cobertura específica de técnicas 3D.",exchange_term,low,undergraduate,standard,spanish,unknown,strong_candidate,course_offering_2026_2027_v1_1,regular_icai,,
DTC-IMAT-417,Visión por Ordenador II / Computer Vision II,Fall,Undergraduate,4-IMAT,Unknown,Spanish,6.0,72.59,Sistemas de Inteligencia Artificial II,3,"Visión por Ordenador II es una especialidad avanzada de IA, pero no equivale sola a IA II.",exchange_term,low,undergraduate,standard,spanish,unknown,strong_candidate,course_offering_2026_2027_v1_1,regular_icai,,
DTC-IMAT-423,Tecnologías para la Digitalización / Technologies for Digital Transformation,Fall,Undergraduate,4-IMAT,Unknown,Spanish,6.0,48.02,AI: Data Management Course & Digital Transformation,3,"Tecnologias para la Digitalizacion coincide con la componente de transformacion digital del curso ITBA, aunque no evidencia por si sola una cobertura profunda de data management ni de IA.",exchange_term,low,undergraduate,standard,spanish,unknown,strong_candidate,course_offering_2026_2027_v1_1,regular_icai,,
DTC-SAP-333,Machine Learning and Artificial Intelligence with Python,Fall,Undergraduate,1-SAPIENS,Unknown,English,6.0,72.52,Análisis y Tratamiento de Imágenes,3,"Machine Learning and Artificial Intelligence with Python incluye visión por ordenador, pero dentro de una introducción amplia a IA y ML.",exchange_term,low,undergraduate,standard,english,unknown,strong_candidate,course_offering_2026_2027_v1_1,sapiens,,
DTC-SAP-333,Machine Learning and Artificial Intelligence with Python,Fall,Undergraduate,1-SAPIENS,Unknown,English,6.0,72.59,Sistemas de Inteligencia Artificial II,3,"Machine Learning and Artificial Intelligence with Python coincide en IA y aprendizaje automático, pero su profundidad no se detalla.",exchange_term,low,undergraduate,standard,english,unknown,strong_candidate,course_offering_2026_2027_v1_1,sapiens,,
FCEE-BA23-311,Diseño y Generación de Valor para el Cliente / Design and Delivery of Value for Customers,Fall,Undergraduate,3-BA,Unknown,English,6.0,81.14,Product Management,3,Diseño y Generación de Valor para el Cliente coincide con entendimiento de usuarios y diseño de propuestas de valor; parcial para Product Management.,exchange_term,low,undergraduate,standard,english,unknown,strong_candidate,course_offering_2026_2027_v1_1,regular_icai,,
FCEE-BA23-413,Machine Learning II: Predicción / Machine Learning II: Forecasting,Fall,Undergraduate,4-BA,Unknown,Spanish,3.0,72.75,Aprendizaje Automático (Machine Learning),3,"Machine Learning II: Predicción cubre una aplicación relevante, pero está acotada a forecasting.",exchange_term,low,undergraduate,standard,spanish,unknown,strong_candidate,course_offering_2026_2027_v1_1,regular_icai,,
FCEE-BA23-413,Machine Learning II: Predicción / Machine Learning II: Forecasting,Fall,Undergraduate,4-BA,Unknown,Spanish,3.0,73.67,Análisis de series de tiempo con Inteligencia Artificial,3,"Machine Learning II: Predicción se alinea con el componente predictivo de series temporales, aunque no confirma el tratamiento temporal específico.",exchange_term,low,undergraduate,standard,spanish,unknown,strong_candidate,course_offering_2026_2027_v1_1,regular_icai,,
DCIA-MUIAA-512,Aprendizaje Automático / Machine Learning,Fall,Master,1-MIAA,Unknown,Spanish,6.0,72.75,Aprendizaje Automático (Machine Learning),5,"Aprendizaje Automático coincide directamente con aprendizaje supervisado/no supervisado, clasificación y diseño de sistemas. Es Master y requiere permiso.",exchange_term,low,postgraduate,permission_required,spanish,unknown,conditional,course_offering_2026_2027_v1_1,regular_icai,,
