codigo_icai_1,nombre_icai_1,term_1,studies_1,ects_icai_1,confianza_individual_1,codigo_icai_2,nombre_icai_2,term_2,studies_2,ects_icai_2,confianza_individual_2,ects_total,codigo_itba,nombre_itba,confianza_combinada,comentario_combinacion,complementa_por,gaps_restantes,availability_pair_label,permission_pair_label,source_labels,url_guia_icai_1,url_guia_icai_2
DCIA-IMAT-212,Adquisición y Visualización de Datos / Data Acquisition and Visualization,Fall,Undergraduate,6.0,3,DOI-MBD-516,Introducción al Análisis Estadístico con Lenguajes de Programación para Machine Learning / Introduction to Statistical Analysis with Programming Languages for Machine Learning,Fall,Master,3.0,3,9.0,73.23,Programación Orientada a Datos,4,"Adquisición y Visualización de Datos cubre obtención, manipulación y presentación de datos, mientras que Análisis Estadístico con Lenguajes de Programación aporta programación analítica y métodos estadísticos para ML.","DCIA-IMAT-212 aporta adquisición, preparación y visualización; DOI-MBD-516 aporta lenguajes de programación y análisis estadístico aplicado a datos.",Falta confirmar el paradigma concreto de programación orientada a datos y el alcance de ingeniería de pipelines.,exchange_term,permission_required,course_offering_2026_2027_v1_1,,
DTC-GITT-315,Ingeniería del Software / Software Engineering,Fall,Undergraduate,6.0,3,FCEE-BA23-311,Diseño y Generación de Valor para el Cliente / Design and Delivery of Value for Customers,Fall,Undergraduate,6.0,2,12.0,73.30,Desarrollo profesional de software: del código al producto,4,"Ingeniería del Software cubre el ciclo y las prácticas de desarrollo, y Diseño y Generación de Valor para el Cliente incorpora la perspectiva de producto, usuario y valor; juntas conectan código y producto.",DTC-GITT-315 aporta desarrollo profesional de software; FCEE-BA23-311 aporta entendimiento de cliente y propuesta de valor.,"Falta confirmar métricas de producto, experimentación y lanzamiento.",exchange_term,standard,course_offering_2026_2027_v1_1,,
DEAC-MUIINT-112,Internet of Things,Fall,Master,4.5,2,DTC-MIT-515,Arquitectura de Servicios en Red / Architecture of Network Services,Fall,Master,6.0,3,10.5,73.50,"Infraestructura de Cómputo: Data Center, Cloud y Edge",4,"Internet of Things aporta dispositivos conectados y la dimensión edge, mientras que Arquitectura de Servicios en Red aporta infraestructura y servicios de red; juntas cubren extremos complementarios de una infraestructura cloud-edge.",DEAC-MUIINT-112 aporta edge y dispositivos; DTC-MIT-515 aporta arquitectura de servicios e infraestructura de red.,"Falta confirmar contenidos de data center, virtualización, nube pública e infraestructura de cómputo.",exchange_term,permission_required,course_offering_2026_2027_v1_1,,
DEAC-IMAT-312,Sistemas de Control / Control Systems,Fall,Undergraduate,6.0,2,DEAC-MII-632,Automatización Avanzada / Advanced Automation,Fall,Master,4.5,3,10.5,73.60,Introducción a la Robótica Empresarial,4,Sistemas de Control aporta fundamentos para gobernar sistemas físicos y Automatización Avanzada añade su aplicación e integración industrial; son bloques complementarios de robótica empresarial.,DEAC-IMAT-312 aporta control de sistemas; DEAC-MII-632 aporta automatización avanzada en un contexto industrial.,"Falta confirmar plataformas robóticas concretas, procesos empresariales y despliegue de soluciones robóticas.",exchange_term,permission_required,course_offering_2026_2027_v1_1,,
DIM-MII-516,Robotica Industrial / Industrial Robotics,Fall,Master,4.5,2,DTC-MIINT-512,Deep Learning,Fall,Master,6.0,3,10.5,73.61,Neurorobótica,4,Robótica Industrial cubre el sistema físico robótico y Deep Learning aporta el bloque neuronal; juntas reúnen las dos dimensiones que definen la neurorobótica.,DIM-MII-516 aporta diseño e implementación robótica; DTC-MIINT-512 aporta redes neuronales y aprendizaje profundo.,"Falta confirmar control neuronal integrado, percepción robótica y aprendizaje en línea.",exchange_term,permission_required,course_offering_2026_2027_v1_1,,
DCIA-MUIAA-512,Aprendizaje Automático / Machine Learning,Fall,Master,6.0,3,FCEE-BA23-413,Machine Learning II: Predicción / Machine Learning II: Forecasting,Fall,Undergraduate,3.0,3,9.0,73.67,Análisis de series de tiempo con Inteligencia Artificial,4,Aprendizaje Automático aporta los métodos generales de IA y Machine Learning II: Predicción agrega el bloque predictivo específicamente vinculado a análisis temporal; la segunda materia aporta una cobertura no redundante.,DCIA-MUIAA-512 aporta técnicas generales de ML; FCEE-BA23-413 aporta predicción y forecasting.,"Falta confirmar modelos temporales, validación temporal y tratamiento de estacionalidad.",exchange_term,permission_required,course_offering_2026_2027_v1_1,,
DCIA-MUIAA-512,Aprendizaje Automático / Machine Learning,Fall,Master,6.0,3,DTC-MBD-515,Tecnologías de Procesamiento Big Data / Big Data Processing Technologies,Fall,Master,7.5,3,13.5,73.84,Ciencia de Datos Aplicada,4,"Aprendizaje Automático cubre modelado y análisis de datos, mientras que Tecnologías de Procesamiento Big Data aporta procesamiento y manejo de grandes volúmenes; juntas cubren los bloques analítico y de plataforma de ciencia de datos aplicada.",DCIA-MUIAA-512 aporta modelado con ML; DTC-MBD-515 aporta procesamiento distribuido y datos a escala.,"Falta confirmar captura, limpieza, visualización, comunicación de resultados y generación de productos de datos.",exchange_term,permission_required,course_offering_2026_2027_v1_1,,
DTC-GITT-315,Ingeniería del Software / Software Engineering,Fall,Undergraduate,6.0,3,FCEE-BA23-311,Diseño y Generación de Valor para el Cliente / Design and Delivery of Value for Customers,Fall,Undergraduate,6.0,3,12.0,81.14,Product Management,4,"Ingeniería del Software aporta el ciclo de desarrollo y la interacción con ingeniería, y Diseño y Generación de Valor para el Cliente aporta usuarios, propuesta de valor y diseño; juntas cubren los dos frentes esenciales de Product Management.","DTC-GITT-315 aporta proceso de desarrollo; FCEE-BA23-311 aporta cliente, valor y diseño de soluciones.","Falta confirmar roadmap, métricas de producto, lanzamiento y marcos ágiles específicos de PM.",exchange_term,standard,course_offering_2026_2027_v1_1,,
DTC-GITT-315,Ingeniería del Software / Software Engineering,Fall,Undergraduate,6.0,3,DTC-MIT-515,Arquitectura de Servicios en Red / Architecture of Network Services,Fall,Master,6.0,2,12.0,81.57,Arquitectura de soluciones digitales,4,"Ingeniería del Software aporta diseño y construcción de soluciones, mientras que Arquitectura de Servicios en Red añade la arquitectura técnica de servicios y comunicaciones; cubren niveles complementarios de arquitectura digital.",DTC-GITT-315 aporta diseño de software y soluciones; DTC-MIT-515 aporta arquitectura de servicios y redes.,"Falta confirmar CI/CD, arquitectura tecnológica de plataforma y mecanismos de adopción.",exchange_term,permission_required,course_offering_2026_2027_v1_1,,
DOI-MII-681,Dirección de Proyectos / Project Management,Fall,Master,3.0,2,DTC-MBD-512,Big Data y Gobierno del Dato / Big Data and Data Governance,Fall,Master,3.0,3,6.0,82.21,Factibilidad de Proyectos Data Driven,4,"Dirección de Proyectos aporta planificación, responsables, riesgos e hitos, y Big Data y Gobierno del Dato añade calidad, gobierno y uso organizacional de los datos; juntas cubren gestión y evaluación del componente data-driven.","DOI-MII-681 aporta viabilidad y gestión de proyecto; DTC-MBD-512 aporta calidad, gobierno y contexto de los datos.","Falta confirmar análisis económico y legal detallado, infraestructura de go-live y elaboración de propuesta técnica.",exchange_term,permission_required,course_offering_2026_2027_v1_1,,
DOI-MII-680,"Creación, Organización y Dirección de Empresas / Business Administration",Fall,Master,6.0,3,DOI-MII-683,Liderazgo y Gestión del Cambio / Leadership and Change Management,Fall,Master,3.0,3,9.0,94.23,Formación General III,4,"Business Administration cubre creación, estructura y dirección de organizaciones, mientras que Liderazgo y Gestión del Cambio añade liderazgo, relaciones y toma de decisiones en cambio; son bloques diferenciados del programa ITBA.","DOI-MII-680 aporta organización y dirección empresarial; DOI-MII-683 aporta liderazgo, relaciones organizacionales y cambio.",Falta confirmar el marco teórico específico de jerarquías de respondibilidad gerencial.,exchange_term,permission_required,course_offering_2026_2027_v1_1,,
DER-ADE-215,Marco Jurídico de la Empresa / Business Legal Framework,Fall,Undergraduate,6.0,2,DOI-GITI-411,Ética / Ethics,Fall,Undergraduate,3.0,3,9.0,94.62,Ética en los Negocios,4,"Ética aporta la base filosófica, moral y deontológica, y Marco Jurídico de la Empresa incorpora normas, responsabilidad e instituciones empresariales; juntas cubren dimensiones éticas y legales distintas de Ética en los Negocios.",DOI-GITI-411 aporta ética y deontología; DER-ADE-215 aporta marco jurídico y normativo empresarial.,"Falta confirmar responsabilidad social corporativa, ética política y los marcos normativos de calidad y sostenibilidad.",exchange_term,standard,course_offering_2026_2027_v1_1,,
